date,geocodigo,epiweek,temp_min,temp_med,temp_max,precip_min,precip_med,precip_max,precip_tot,pressao_min,pressao_med,pressao_max,umid_min,umid_med,umid_max
2024-12-29,3304557,202501,22.8352,24.8974,27.9145,0.0,1.057,3.588,8.4564,0.9843,0.9853,0.9864,69.4656,84.5759,95.1502
2024-12-30,3304557,202501,22.6358,24.5013,27.7957,0.0197,1.9409,5.089,15.5271,0.9834,0.9851,0.9863,67.9637,85.4602,96.4064
2024-12-31,3304557,202501,20.9783,24.6063,28.5656,0.0307,0.8406,5.1652,6.725,0.9856,0.9864,0.9874,66.5688,82.5677,98.5583
2025-01-01,3304557,202501,22.1772,25.2183,30.0052,0.0053,0.9971,3.7652,7.9765,0.9842,0.9858,0.9873,66.4494,81.7803,93.89
2025-01-02,3304557,202501,22.0941,25.9235,31.1343,0.0005,0.7375,4.2964,5.8998,0.9815,0.9845,0.987,58.1089,79.6437,94.728
2025-01-03,3304557,202501,24.5162,27.6916,31.8768,0.0043,0.334,1.4081,2.6722,0.9798,0.9816,0.9834,57.4168,74.2822,89.5384
2025-01-04,3304557,202501,24.3281,26.9478,31.1547,0.0,0.822,4.1261,6.576,0.9795,0.9808,0.9823,59.2967,77.3838,88.0719
2025-01-05,3304557,202502,23.8075,25.0448,26.7406,1.7231,4.5376,7.1537,36.3005,0.9808,0.9826,0.9843,79.4745,86.3424,94.012
2025-01-06,3304557,202502,22.7148,25.8592,30.4763,0.0189,1.0442,4.1556,8.3534,0.9822,0.984,0.9852,57.5224,77.4775,91.341
2025-01-07,3304557,202502,23.1569,25.2479,27.6681,0.4989,1.6439,3.3488,13.151,0.9827,0.9838,0.9846,75.3814,81.4926,89.4214
2025-01-08,3304557,202502,22.9325,24.6111,27.0572,0.1389,3.0737,11.9618,24.5897,0.9829,0.9843,0.9852,74.4863,84.358,91.3107
2025-01-09,3304557,202502,22.3889,23.6278,25.8369,0.4819,7.288,16.7005,58.3037,0.9825,0.9836,0.9852,78.0426,87.9136,94.7487
2025-01-10,3304557,202502,21.1998,23.3974,25.871,0.0267,2.2246,16.8051,17.7971,0.9827,0.9843,0.9854,58.93,75.3149,89.4082
2025-01-11,3304557,202502,20.0529,23.3328,26.9507,0.0,0.0305,0.2382,0.2444,0.9831,0.9843,0.9852,57.7051,74.5739,90.6176
2025-01-12,3304557,202503,22.1766,23.1202,24.5142,0.0001,0.4577,2.2533,3.6618,0.9835,0.9847,0.9859,70.4569,80.0247,86.7082
2025-01-13,3304557,202503,20.6309,22.3909,24.1502,0.0727,0.9174,2.3523,7.3388,0.9841,0.9848,0.9857,69.2741,81.4336,93.3267
2025-01-14,3304557,202503,21.5346,23.2035,25.7287,0.0117,0.3352,1.5278,2.6813,0.9838,0.9848,0.9853,62.4213,76.0583,85.1221
2025-01-15,3304557,202503,21.8943,23.5308,25.5297,0.1176,0.3034,0.8873,2.4271,0.9849,0.9861,0.9872,66.5157,77.3337,85.5556
2025-01-16,3304557,202503,22.0908,24.6748,27.5597,0.0265,0.4019,1.1962,3.2154,0.9853,0.9871,0.9885,71.4637,81.7486,94.033
2025-01-17,3304557,202503,23.3519,27.4315,33.1683,0.0024,0.1573,1.1976,1.2583,0.9841,0.9864,0.9878,51.2921,75.865,93.2047
2025-01-18,3304557,202503,23.7526,28.6469,34.477,0.0,0.0019,0.012,0.0154,0.983,0.9851,0.9863,45.4339,72.5842,93.5656
2025-01-19,3304557,202504,24.4061,29.0632,34.1998,0.0017,0.0306,0.1128,0.2446,0.9817,0.9836,0.9847,50.4538,74.0883,93.9395
2025-01-20,3304557,202504,25.5319,29.7527,34.8527,0.0036,0.4151,2.4555,3.3204,0.9804,0.9821,0.9832,47.8403,71.9909,91.2644
2025-01-21,3304557,202504,26.0566,30.1847,34.7526,0.0,0.3116,2.4555,2.4925,0.981,0.9825,0.9837,46.2301,68.0582,87.3225
2025-01-22,3304557,202504,26.1099,30.07,34.2361,0.0,0.0522,0.2214,0.4176,0.9842,0.986,0.9874,47.9045,66.1598,85.3313
2025-01-23,3304557,202504,25.2755,28.2464,31.8791,0.0,0.1737,0.9941,1.3899,0.9861,0.9877,0.9885,53.342,72.1856,90.9701
2025-01-24,3304557,202504,23.8389,27.3612,30.949,0.0117,0.703,1.9811,5.6238,0.986,0.9878,0.9892,59.9106,74.423,93.8558
2025-01-25,3304557,202504,24.4009,28.6462,34.4695,0.0,0.3277,1.9812,2.6217,0.9839,0.9863,0.988,43.6619,68.5508,90.9617
2025-01-26,3304557,202505,25.9103,28.0582,30.8477,0.0,2.1548,7.663,17.2381,0.9831,0.9848,0.986,57.1935,76.3512,88.4611
