data_iniSE,epiweek,casos_est,casos_est_min,casos_est_max,casos,municipio_geocodigo,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,Rt,municipio_nome,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,precip_total
2024-12-29,202501,398,398,398,398,3304557,0.99998474,6.0067773,0,2,330455720250120450,2026-01-07,1.3771596,Rio de Janeiro,6625849,22.7949857142857,93.7633142857143,1,1,1,80.8134,63.6099857142857,25.6837428571429,29.7781142857143,200,NA,NA,NA,NA,53.833
2025-01-05,202502,527,527,527,527,3304557,1,7.9536977,0,3,330455720250220500,2026-01-07,1.7182572,Rio de Janeiro,6625849,22.3219,91.5513714285714,1,1,1,81.0675571428571,68.7917571428571,24.4458571428571,27.2286857142857,245,NA,NA,NA,NA,158.7398
2025-01-12,202503,557,557,557,557,3304557,0.99999994,8.40647,0,3,330455720250320500,2026-02-02,1.4211998,Rio de Janeiro,6625849,22.2045285714286,90.2165571428571,1,1,1,77.8640142857143,62.4082428571429,24.7140857142857,27.8754,234,NA,NA,NA,NA,20.5981
2025-01-19,202504,686,686,686,686,3304557,1,10.35339,0,3,330455720250420500,2026-02-07,1.3904507,Rio de Janeiro,6625849,25.0885428571429,90.5207571428571,1,1,1,70.7795142857143,49.9061714285714,29.0463428571429,33.6198285714286,314,NA,NA,NA,NA,16.110500000000002
2025-01-26,202505,1056,1056,1056,1056,3304557,1,15.93758,0,3,330455720250520500,2026-02-11,1.7729015,Rio de Janeiro,6625849,24.4659714285714,93.1619,1,1,1,84.6243285714286,73.3570857142857,26.2341142857143,28.4595285714286,429,NA,NA,NA,NA,314.6341
2025-02-02,202506,1097,1097,1097,1097,3304557,1,16.55637,0,3,330455720250620500,2026-02-11,1.4558538,Rio de Janeiro,6625849,24.0983428571429,92.1974142857143,1,1,1,72.1982142857143,49.5075571428571,28.1354142857143,32.4019428571429,500,NA,NA,NA,NA,24.6986
2025-02-09,202507,1457,1457,1457,1457,3304557,1,21.989635,0,3,330455720250720500,2026-02-11,1.5116484,Rio de Janeiro,6625849,24.086314285714302,88.6152714285714,1,1,2,68.7465714285714,46.9787142857143,27.9780857142857,32.4808142857143,628,NA,NA,NA,NA,3.1500000000000004
2025-02-16,202508,1426,1426,1426,1426,3304557,0.9999999,21.52177,0,3,330455720250820500,2026-02-11,1.226898,Rio de Janeiro,6625849,24.2406571428571,87.3689285714286,1,1,2,63.0015,40.9037857142857,29.3462428571429,34.4033571428571,585,NA,NA,NA,NA,6.6591000000000005
2025-02-23,202509,955,955,955,955,3304557,1.00586206e-13,14.413247,0,4,330455720250920500,2026-02-11,0.73267525,Rio de Janeiro,6625849,23.4926714285714,89.2054571428571,1,0,1,66.0415714285714,43.0132,28.0489142857143,32.9648,397,NA,NA,NA,NA,7.1968
2025-03-02,202510,973,973,973,973,3304557,1.8902635e-10,14.684911,0,2,330455720251020500,2026-02-11,0.7667098,Rio de Janeiro,6625849,23.1964857142857,89.3327,1,0,1,68.7663285714286,46.2084857142857,27.1142714285714,31.686,359,NA,NA,NA,NA,8.4027
2025-03-09,202511,1315,1315,1315,1315,3304557,0.9999728,19.846514,0,2,330455720251120500,2026-02-11,1.1781627,Rio de Janeiro,6625849,23.8001428571429,92.1001428571429,1,1,2,74.5026,56.3944,27.0165285714286,31.0949285714286,414,NA,NA,NA,NA,84.4015
2025-03-16,202512,1252,1252,1252,1252,3304557,0.99963576,18.89569,0,4,330455720251220500,2026-02-11,1.1500611,Rio de Janeiro,6625849,22.3865428571429,91.9860714285714,1,1,2,79.0464142857143,63.9223285714286,24.8333,27.7372428571429,436,NA,NA,NA,NA,206.7601
2025-03-23,202513,1101,1101,1101,1101,3304557,0.047936894,16.61674,0,4,330455720251320500,2026-02-11,0.9326432,Rio de Janeiro,6625849,22.4457714285714,92.9532857142857,1,0,1,76.8636428571429,58.8181142857143,25.662,29.3848142857143,344,NA,NA,NA,NA,40.0692
2025-03-30,202514,1048,1048,1048,1048,3304557,7.913919e-4,15.816841,0,2,330455720251420500,2026-02-11,0.8750702,Rio de Janeiro,6625849,22.9229571428571,93.1666857142857,1,0,1,77.3932857142857,59.4983714285714,26.1692714285714,29.6762285714286,326,NA,NA,NA,NA,221.8565
2025-04-06,202515,1018,1018,1018,1018,3304557,0.009719628,15.364069,0,1,330455720251520500,2026-02-11,0.90394783,Rio de Janeiro,6625849,20.1451,91.2884857142857,0,0,1,79.5197142857143,64.5824571428571,22.7865285714286,25.8289857142857,327,NA,NA,NA,NA,156.5767
