date,geocodigo,epiweek,temp_min,temp_med,temp_max,precip_min,precip_med,precip_max,precip_tot,pressao_min,pressao_med,pressao_max,umid_min,umid_med,umid_max
2014-12-01,4209102,201449,19.796,22.8081,26.8458,0.0095,0.2844,1.313,2.2748,0.9617,0.9646,0.967,68.5004,83.98,96.8024
2014-12-02,4209102,201449,20.8012,24.1519,28.037,0.0411,0.3522,1.116,2.8179,0.9597,0.9626,0.9645,67.6036,84.5897,98.9056
2014-12-03,4209102,201449,20.9846,25.5131,32.063,0.0,0.3256,1.4481,2.6046,0.9574,0.9599,0.9616,45.2265,76.0538,97.7046
2014-12-04,4209102,201449,19.4776,20.959,23.1601,6.8496,14.095,16.2463,112.7603,0.9619,0.9649,0.967,67.5646,83.1078,95.4788
2014-12-05,4209102,201449,18.1607,20.4469,23.5427,0.284,4.2476,16.2829,33.9811,0.9667,0.9682,0.9697,57.0127,77.5287,93.6675
2014-12-06,4209102,201449,17.5192,20.2427,24.0645,0.0202,0.4635,3.3253,3.7082,0.9654,0.9681,0.9696,60.8399,75.4235,88.211
2014-12-07,4209102,201450,18.4372,22.5663,27.8129,0.0032,0.0264,0.0796,0.2109,0.9636,0.9661,0.9676,59.6921,79.0423,92.6543
2014-12-08,4209102,201450,20.3508,24.2528,28.988,0.0012,0.1072,0.294,0.8573,0.9612,0.9644,0.9659,57.8569,80.3002,98.1557
2014-12-09,4209102,201450,21.3676,23.9865,28.7011,0.0003,3.0661,12.7347,24.5292,0.959,0.9621,0.9641,65.2926,85.8406,97.5667
2014-12-10,4209102,201450,21.884,23.7952,27.6115,0.0505,8.2752,22.4447,66.2015,0.9587,0.9602,0.9613,73.4211,89.3693,98.7658
2014-12-11,4209102,201450,20.7398,23.9235,28.2942,0.001,6.1566,22.5289,49.253,0.9606,0.9614,0.9627,68.4715,86.1029,97.5926
2014-12-12,4209102,201450,21.5991,22.841,24.7218,1.9173,7.7738,15.2135,62.1907,0.9596,0.9621,0.9637,88.3782,94.0937,98.571
2014-12-13,4209102,201450,21.2252,23.9342,28.4717,2.8064,8.1225,20.515,64.9801,0.9554,0.9579,0.9611,67.5848,86.0018,97.1032
