data_iniSE,epiweek,casos_est,casos_est_min,casos_est_max,casos,municipio_geocodigo,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,Rt,municipio_nome,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,geocodigo,temp_min_avg,temp_max_avg,temp_med_avg,precip_total,umid_min_avg,umid_max_avg,umid_med_avg
2019-12-01,201949,3,3,3,3,4209102,0.56152505,0.5019593,0,2,420910220194919600,2023-08-21,1.1285723,Joinville,597658,19.5714285714286,90.9839951428571,1,0,0,84.6527385714286,78.733221,20.8285714285714,21.5714285714286,0,NA,NA,NA,NA,4209102,17.923857142857145,24.20792857142857,20.494914285714284,204.6082,68.39875714285714,92.49448571428572,82.62368571428571
2019-12-08,201950,1,1,1,1,4209102,0.123132035,0.16731977,0,2,420910220195019600,2023-08-21,0.33093715,Joinville,597658,21,93.3658442857143,1,0,0,88.9623257142857,82.9549714285714,21.974603,23,1,NA,NA,NA,NA,4209102,18.90442857142857,25.52418571428571,21.814457142857144,49.9011,65.17918571428571,96.36291428571428,82.33465714285714
2019-12-15,201951,1,1,1,1,4209102,0.167015,0.16731977,0,2,420910220195119600,2023-08-21,0.3873041,Joinville,597658,21,97.48004,1,0,0,94.5735242857143,90.9435457142857,21.6428571428571,22.1428571428571,0,NA,NA,NA,NA,4209102,19.674457142857143,25.059685714285713,21.949142857142856,253.5268,74.7885,96.4517,88.15148571428571
2019-12-22,201952,0,0,0,0,4209102,0,0,0,1,420910220195219600,2023-08-21,0,Joinville,597658,21.5714285714286,94.1301471428571,0,0,0,87.3726128571429,81.3843681428571,23.3571428571429,24.5714285714286,0,NA,NA,NA,NA,4209102,20.1781,27.297171428571428,23.330514285714287,111.5834,60.92597142857143,97.33828571428572,81.81541428571428
2019-12-29,202001,2,2,2,2,4209102,0.7692239,0.33463955,0,1,420910220200119600,2023-08-21,2.1531599,Joinville,597658,22.1666666666667,98.042255,1,0,0,86.1531108333333,74.6016748333333,24.449074,27,2,NA,NA,NA,NA,4209102,20.8607,27.08504285714286,23.440914285714285,244.9063,67.92304285714286,96.86992857142856,85.03909999999999
2020-01-05,202002,4,4,4,4,4209102,0.93654877,0.6692791,0,1,420910220200219600,2023-08-21,3.9615693,Joinville,597658,22.2857142857143,100,1,0,0,83.45987,67.167763,26.9047625714286,31.1428571428571,2,NA,NA,NA,NA,4209102,21.552642857142857,28.4436,24.48961428571429,241.4422,67.98438571428571,97.59331428571429,85.74665714285715
2020-01-12,202003,4,4,4,4,4209102,0.806532,0.6692791,0,2,420910220200319600,2023-08-21,1.9602447,Joinville,597658,20.4285714285714,97.4421842857143,1,0,0,76.3131028571429,57.5086964285714,25.2297408571429,28.7142857142857,0,NA,NA,NA,NA,4209102,19.722242857142856,26.012514285714285,22.50598571428571,175.5208,64.51394285714287,94.73907142857142,81.62161428571429
2020-01-19,202004,5,5,5,5,4209102,0.73050994,0.8365989,0,2,420910220200419600,2023-08-21,1.5050638,Joinville,597658,19.8571428571429,99.1328242857143,1,0,0,80.768472,66.3933861428571,23.968254,27.1428571428571,3,NA,NA,NA,NA,4209102,18.63848571428571,23.734342857142856,21.12654285714286,157.5171,72.66418571428571,96.25321428571428,85.77065714285715
2020-01-26,202005,5,5,5,5,4209102,0.6155774,0.8365989,0,2,420910220200519600,2023-08-21,1.2043614,Joinville,597658,22.2857142857143,97.5103678571429,1,0,0,82.9873758571429,66.1869675714286,26.634503,30.5714285714286,4,NA,NA,NA,NA,4209102,20.940628571428572,28.533342857142856,24.42342857142857,164.1944,66.19894285714285,97.4999,84.65774285714285
2020-02-02,202006,17,17,17,17,4209102,0.99521196,2.8444362,0,2,420910220200619600,2023-08-21,3.1984205,Joinville,597658,23,96.6624185714286,1,0,0,91.1640542857143,86.1125021428571,24.3594104285714,25.5714285714286,12,NA,NA,NA,NA,4209102,20.769642857142856,24.88881428571429,22.49802857142857,343.0014,81.72665714285714,97.2613,90.70498571428573
2020-02-09,202007,56,56,56,56,4209102,1,9.369907,0,2,420910220200719600,2023-08-21,5.2952476,Joinville,597658,20.4285714285714,94.1091085714286,1,1,1,91.8221114285714,89.3000228571429,21.4833334285714,22,46,NA,NA,NA,NA,4209102,18.733285714285714,24.90002857142857,21.277371428571428,219.3677,69.75325714285714,95.41604285714286,86.13077142857144
2020-02-16,202008,80,80,80,80,4209102,0.99999994,13.385582,0,3,420910220200819600,2023-08-21,3.059305,Joinville,597658,22.8571428571429,96.6431921428571,1,1,1,89.7591465714286,84.2635048571429,24.5714285714286,25.7142857142857,60,NA,NA,NA,NA,4209102,21.53142857142857,26.642542857142857,23.7912,133.6037,72.26414285714286,96.2231,86.54501428571429
2020-02-23,202009,81,81,81,81,4209102,0.996349,13.552901,0,3,420910220200919600,2023-08-21,1.6046642,Joinville,597658,18,93.9698971428571,0,1,1,87.4897957142857,79.8549757142857,20.5619048571429,22.4285714285714,67,NA,NA,NA,NA,4209102,17.015657142857144,23.950242857142857,20.480542857142854,136.26420000000002,68.3204,93.76268571428572,82.09451428571428
2020-03-01,202010,226,226,226,226,4209102,1,37.81427,0,3,420910220201019600,2023-08-21,2.8897295,Joinville,597658,18.2857142857143,100,1,1,1,90.226088,79.3515857142857,21.0827662857143,23.5714285714286,199,NA,NA,NA,NA,4209102,17.51942857142857,23.02304285714286,20.00604285714286,178.9817,71.47545714285714,96.75262857142856,85.70562857142858
2020-03-08,202011,254,254,254,254,4209102,1,42.49922,0,3,420910220201119600,2023-08-21,2.0621808,Joinville,597658,19,100,1,1,1,89.4558842857143,79.7335871428571,21.8785714285714,24.2857142857143,226,NA,NA,NA,NA,4209102,18.613885714285715,27.189014285714286,22.45547142857143,6.1208,58.7899,98.44645714285714,82.93341428571429
2020-03-15,202012,228,228,228,228,4209102,0.9749701,38.148907,0,3,420910220201219600,2023-08-21,1.2121159,Joinville,597658,21.7142857142857,100,1,1,1,81.9252898571429,65.3983635714286,25.7413548571429,29.1428571428571,207,NA,NA,NA,NA,4209102,20.8825,27.075214285714285,23.544885714285716,103.2151,66.77158571428572,96.98814285714286,85.19034285714285
2020-03-22,202013,384,384,384,384,4209102,1,64.25079,0,3,420910220201319600,2023-08-21,1.6226226,Joinville,597658,19.1428571428571,100,1,1,1,77.0885178571429,57.2084242857143,24,28,346,NA,NA,NA,NA,4209102,17.426142857142857,24.0099,20.547842857142857,47.2334,65.36801428571428,96.66658571428572,82.87661428571428
2020-03-29,202014,536,536,536,536,4209102,1,89.683395,0,3,420910220201419600,2023-08-21,1.8685917,Joinville,597658,21.1428571428571,88.8159615714286,1,1,2,70.7228918571429,56.345476,25.6984127142857,28.8571428571429,497,NA,NA,NA,NA,4209102,18.794228571428572,26.129785714285713,22.207885714285716,26.9935,61.33257142857143,92.16414285714286,78.19125714285714
2020-04-05,202015,809,809,809,809,4209102,1,135.3617,0,3,420910220201519600,2023-08-21,2.0405362,Joinville,597658,19.5714285714286,85.5430685714286,1,1,2,68.5118241428572,57.0563544285714,22.9285714285714,25.2857142857143,726,NA,NA,NA,NA,4209102,15.538414285714286,22.705085714285715,18.833571428571428,54.6576,62.66152857142857,93.9581,79.87212857142858
2020-04-12,202016,973,973,973,973,4209102,1,162.80214,0,4,420910220201619600,2023-08-21,1.7115115,Joinville,597658,18.4285714285714,83.3614238571429,1,1,2,60.7913091428571,46.241628,23.0238097142857,26.2857142857143,799,NA,NA,NA,NA,4209102,13.766214285714286,23.302,18.334457142857143,14.7231,51.17455714285715,88.51328571428571,71.24761428571429
