data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,municipio_geocodigo,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,Rt,municipio_nome,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf
2019-12-01,201949,3.0,3,3,3,4209102,0.56152505,0.5019593,0,2,420910220194919590,2023-08-21,1.1285723,Joinville,597658.0,19.5714285714286,90.9839951428571,1,0,0,84.6527385714286,78.733221,20.8285714285714,21.5714285714286,0,,,,
2019-12-08,201950,1.0,1,1,1,4209102,0.123132035,0.16731977,0,2,420910220195019590,2023-08-21,0.33093715,Joinville,597658.0,21.0,93.3658442857143,1,0,0,88.9623257142857,82.9549714285714,21.974603,23.0,1,,,,
2019-12-15,201951,1.0,1,1,1,4209102,0.167015,0.16731977,0,2,420910220195119590,2023-08-21,0.3873041,Joinville,597658.0,21.0,97.48004,1,0,0,94.5735242857143,90.9435457142857,21.6428571428571,22.1428571428571,0,,,,
2019-12-22,201952,0.0,0,0,0,4209102,0.0,0.0,0,1,420910220195219590,2023-08-21,0.0,Joinville,597658.0,21.5714285714286,94.1301471428571,0,0,0,87.3726128571429,81.3843681428571,23.3571428571429,24.5714285714286,0,,,,
2019-12-29,202001,2.0,2,2,2,4209102,0.7692239,0.33463955,0,1,420910220200119590,2023-08-21,2.1531599,Joinville,597658.0,22.1666666666667,98.042255,1,0,0,86.1531108333333,74.6016748333333,24.449074,27.0,2,,,,
2020-01-05,202002,4.0,4,4,4,4209102,0.93654877,0.6692791,0,1,420910220200219590,2023-08-21,3.9615693,Joinville,597658.0,22.2857142857143,100.0,1,0,0,83.45987,67.167763,26.9047625714286,31.1428571428571,2,,,,
2020-01-12,202003,4.0,4,4,4,4209102,0.806532,0.6692791,0,2,420910220200319590,2023-08-21,1.9602447,Joinville,597658.0,20.4285714285714,97.4421842857143,1,0,0,76.3131028571429,57.5086964285714,25.2297408571429,28.7142857142857,0,,,,
2020-01-19,202004,5.0,5,5,5,4209102,0.73050994,0.8365989,0,2,420910220200419590,2023-08-21,1.5050638,Joinville,597658.0,19.8571428571429,99.1328242857143,1,0,0,80.768472,66.3933861428571,23.968254,27.1428571428571,3,,,,
2020-01-26,202005,5.0,5,5,5,4209102,0.6155774,0.8365989,0,2,420910220200519590,2023-08-21,1.2043614,Joinville,597658.0,22.2857142857143,97.5103678571429,1,0,0,82.9873758571429,66.1869675714286,26.634503,30.5714285714286,4,,,,
2020-02-02,202006,17.0,17,17,17,4209102,0.99521196,2.8444362,0,2,420910220200619590,2023-08-21,3.1984205,Joinville,597658.0,23.0,96.6624185714286,1,0,0,91.1640542857143,86.1125021428571,24.3594104285714,25.5714285714286,12,,,,
2020-02-09,202007,56.0,56,56,56,4209102,1.0,9.369907,0,2,420910220200719590,2023-08-21,5.2952476,Joinville,597658.0,20.4285714285714,94.1091085714286,1,1,1,91.8221114285714,89.3000228571429,21.4833334285714,22.0,46,,,,
2020-02-16,202008,80.0,80,80,80,4209102,0.99999994,13.385582,0,3,420910220200819590,2023-08-21,3.059305,Joinville,597658.0,22.8571428571429,96.6431921428571,1,1,1,89.7591465714286,84.2635048571429,24.5714285714286,25.7142857142857,60,,,,
2020-02-23,202009,81.0,81,81,81,4209102,0.996349,13.552901,0,3,420910220200919590,2023-08-21,1.6046642,Joinville,597658.0,18.0,93.9698971428571,0,1,1,87.4897957142857,79.8549757142857,20.5619048571429,22.4285714285714,67,,,,
2020-03-01,202010,226.0,226,226,226,4209102,1.0,37.81427,0,3,420910220201019590,2023-08-21,2.8897295,Joinville,597658.0,18.2857142857143,100.0,1,1,1,90.226088,79.3515857142857,21.0827662857143,23.5714285714286,199,,,,
2020-03-08,202011,254.0,254,254,254,4209102,1.0,42.49922,0,3,420910220201119590,2023-08-21,2.0621808,Joinville,597658.0,19.0,100.0,1,1,1,89.4558842857143,79.7335871428571,21.8785714285714,24.2857142857143,226,,,,
2020-03-15,202012,228.0,228,228,228,4209102,0.9749701,38.148907,0,3,420910220201219590,2023-08-21,1.2121159,Joinville,597658.0,21.7142857142857,100.0,1,1,1,81.9252898571429,65.3983635714286,25.7413548571429,29.1428571428571,207,,,,
2020-03-22,202013,384.0,384,384,384,4209102,1.0,64.25079,0,3,420910220201319590,2023-08-21,1.6226226,Joinville,597658.0,19.1428571428571,100.0,1,1,1,77.0885178571429,57.2084242857143,24.0,28.0,346,,,,
