date,geocodigo,epiweek,temp_min,temp_med,temp_max,precip_min,precip_med,precip_max,precip_tot,pressao_min,pressao_med,pressao_max,umid_min,umid_med,umid_max
2022-12-01,3304557,202248,22.4606,25.5787,30.404,0.0111,1.6706,5.5237,13.365,0.9803,0.9816,0.983,63.1751,81.5923,93.5843
2022-12-02,3304557,202248,23.5862,26.1715,30.1126,0.1172,0.9502,3.9516,7.6015,0.9838,0.9848,0.9864,58.8867,77.5793,89.7989
2022-12-03,3304557,202248,23.656,25.9982,28.8226,0.0045,0.2399,1.2721,1.9192,0.9844,0.9858,0.9876,60.0056,74.7582,86.2728
2022-12-04,3304557,202249,23.2531,25.7329,27.9087,0.0007,0.1107,0.3133,0.8859,0.9827,0.9845,0.9858,62.7679,74.1327,85.6647
2022-12-05,3304557,202249,23.7231,26.076,28.997,0.0064,0.0978,0.4,0.7824,0.984,0.9853,0.9864,57.6739,70.3201,81.5061
2022-12-06,3304557,202249,23.8799,24.8178,25.7353,0.0488,2.9467,15.118,23.5737,0.9855,0.9866,0.9883,66.7093,73.8369,91.2857
2022-12-07,3304557,202249,22.4441,24.1179,26.28,2.5771,10.1429,26.2372,81.143,0.9837,0.9849,0.9863,75.6573,86.7182,94.1727
2022-12-08,3304557,202249,21.4606,23.1908,25.0609,0.0306,3.3269,19.3729,26.6154,0.9816,0.9835,0.9852,74.7123,86.9715,97.9923
2022-12-09,3304557,202249,20.0827,24.3123,29.8121,0.0001,0.2441,1.9347,1.9524,0.9814,0.9827,0.9836,57.7518,77.7377,94.7142
2022-12-10,3304557,202249,20.1032,24.7059,30.8144,0.0,0.0354,0.1287,0.2831,0.9829,0.9841,0.9852,56.1125,79.2137,97.1995
2022-12-11,3304557,202250,22.9875,26.2919,31.173,0.0,0.1897,0.6875,1.5176,0.9817,0.9832,0.9851,64.091,78.9261,93.0909
2022-12-12,3304557,202250,22.9848,27.2054,31.6986,0.0,0.1779,0.6879,1.4236,0.977,0.9799,0.9829,57.2839,77.5777,93.7878
