data_iniSE,epiweek,casos_est,casos_est_min,casos_est_max,casos,municipio_geocodigo,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,Rt,municipio_nome,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,precip_total
2022-12-04,202249,98,98,98,98,3304557,0.47070056,1.452322,0,1,330455720224919700,2023-12-17,0.9896027,Rio de Janeiro,6747815,22,89.375718,1,0,1,74.9937762857143,57.8374511428571,25.4740257142857,29.4285714285714,24,NA,NA,NA,NA,135.2359
2022-12-11,202250,123,123,123,123,3304557,0.98636544,1.8228123,0,1,330455720225019700,2023-12-27,1.3540077,Rio de Janeiro,6747815,21,90.3509966666667,0,1,1,73.5068166666667,51.23129,25.0713383333333,29.8333333333333,43,NA,NA,NA,NA,108.9025
2022-12-18,202251,117,117,117,117,3304557,0.8770603,1.7338946,0,1,330455720225119740,2023-12-27,1.1705892,Rio de Janeiro,6747815,22,91.24947,1,0,1,83.38519,73.80251,23.0272435,25,36,NA,NA,NA,NA,303.2933
2022-12-25,202252,163,163,163,163,3304557,0.9982087,2.4155967,0,1,330455720225219700,2024-01-12,1.4215776,Rio de Janeiro,6747815,22.3333333333333,92.22857,1,1,1,80.6600933333333,69.358795,24.7015153333333,27,67,NA,NA,NA,NA,184.5677
2023-01-01,202301,230,230,230,230,3304557,0.99999976,3.4085107,0,3,330455720230119740,2024-01-18,1.7139512,Rio de Janeiro,6747815,22.4285714285714,92.5873994285714,1,1,1,78.1880928571429,63.0343021428571,24.9761905714286,28.4285714285714,106,NA,NA,NA,NA,275.138
2023-01-08,202302,218,218,218,218,3304557,0.995155,3.2306755,0,3,330455720230219800,2024-01-25,1.3026527,Rio de Janeiro,6747815,23.4285714285714,89.9808285714286,1,1,1,82.592395,69.3316824285714,25.0714285714286,28.2857142857143,92,NA,NA,NA,NA,274.6743
2023-01-15,202303,246,246,246,246,3304557,0.9771994,3.6456246,0,3,330455720230319740,2024-01-25,1.2077812,Rio de Janeiro,6747815,26.7142857142857,77.1570837142857,1,1,1,77.1570837142857,77.1570837142857,26.7142857142857,26.7142857142857,125,NA,NA,NA,NA,54.3049
2023-01-22,202304,312,312,312,312,3304557,0.9998428,4.6237187,0,3,330455720230419800,2024-01-30,1.3656247,Rio de Janeiro,6747815,25.1428571428571,82.1437925714286,1,1,1,82.1437925714286,82.1437925714286,25.1428571428571,25.1428571428571,144,NA,NA,NA,NA,158.06470000000002
2023-01-29,202305,383,383,383,383,3304557,0.99999934,5.6759114,0,3,330455720230519740,2024-02-07,1.4696335,Rio de Janeiro,6747815,25.5714285714286,83.8827211428571,1,1,1,79.6925188571429,72.2570682857143,26.5773808571429,28.5714285714286,203,NA,NA,NA,NA,104.2033
2023-02-05,202306,525,525,525,525,3304557,1,7.923513,0,3,330455720230619800,2024-02-15,1.6493363,Rio de Janeiro,6625849,25.2857142857143,84.6093591428571,1,1,1,83.9598165714286,83.310275,25.2857142857143,25.2857142857143,295,NA,NA,NA,NA,272.2288
2023-02-12,202307,372,372,372,372,3304557,0.2526511,5.6143746,0,3,330455720230719740,2024-02-21,0.95291066,Rio de Janeiro,6625849,24.9333333333333,86.4308133333333,1,0,1,83.6260754666667,80.823998,25.3888888,25.8,176,NA,NA,NA,NA,284.4384
2023-02-19,202308,507,507,507,507,3304557,0.9888539,7.6518497,0,2,330455720230819800,2024-02-27,1.1605749,Rio de Janeiro,6625849,23.76,91.9395964,1,1,1,78.69903688,61.2907004,26.96333344,31.24,237,NA,NA,NA,NA,50.0932
2023-02-26,202309,870,870,870,870,3304557,1,13.130393,0,3,330455720230919800,2024-03-05,1.8623381,Rio de Janeiro,6625849,26.5652173913043,79.2728502608696,1,1,2,76.7611115652174,74.7959257391304,27.0942027826087,27.5652173913043,443,NA,NA,NA,NA,40.3717
2023-03-05,202310,945,945,945,945,3304557,1,14.262323,0,3,330455720231019800,2024-03-13,1.6172416,Rio de Janeiro,6625849,25.8571428571429,81.5570647142857,1,1,2,79.748143,78.1524784285714,26.1666665714286,26.4285714285714,455,NA,NA,NA,NA,41.6464
2023-03-12,202311,1125,1125,1125,1125,3304557,1,16.978956,0,4,330455720231119800,2024-03-19,1.4384131,Rio de Janeiro,6625849,24.8947368421053,82.1735726315789,1,1,2,81.4420851578947,80.7105981578947,24.9736842105263,25.0526315789474,543,NA,NA,NA,NA,134.28050000000002
2023-03-19,202312,1382,1382,1382,1382,3304557,1,20.857704,0,4,330455720231219840,2024-03-27,1.4342816,Rio de Janeiro,6625849,24,88.5891446153846,1,1,2,74.8795039230769,57.8367590769231,26.9166667692308,30.7692307692308,767,NA,NA,NA,NA,7.0537
2023-03-26,202313,1580,1580,1580,1580,3304557,1,23.846,0,4,330455720231319800,2024-04-02,1.3781551,Rio de Janeiro,6625849,23.5769230769231,89.6739012307692,1,1,2,80.4843574615385,69.4006986923077,25.5512818461538,28,823,NA,NA,NA,NA,138.5385
2023-04-02,202314,1420,1420,1420,1420,3304557,0.9419985,21.431215,0,4,330455720231419840,2024-04-08,1.0616965,Rio de Janeiro,6625849,22,94.08686,1,0,2,78.9160121428571,61.5469862857143,24.619048,27.8571428571429,787,NA,NA,NA,NA,108.2548
2023-04-09,202315,1783,1783,1783,1783,3304557,1,26.90976,0,4,330455720231519800,2024-04-15,1.2132208,Rio de Janeiro,6625849,20.7142857142857,95.7458942857143,0,1,2,80.7760205714286,58.9473221428571,24.1904762857143,29,964,NA,NA,NA,NA,112.0799
2023-04-16,202316,1502,1502,1502,1502,3304557,0.23936632,22.668793,0,4,330455720231619840,2024-04-22,0.97464806,Rio de Janeiro,6625849,21.2857142857143,93.2862714285714,1,0,2,77.3964678571429,57.5178611428571,24.5178571428571,28,816,NA,NA,NA,NA,131.5699
2023-04-23,202317,1572,1572,1572,1572,3304557,0.34295422,23.725262,0,4,330455720231719900,2024-04-29,0.9857314,Rio de Janeiro,6625849,20.4285714285714,92.4114291428571,0,0,2,78.7258365714286,60.3022841428571,23.3928571428571,27.1428571428571,895,NA,NA,NA,NA,88.1311
2023-04-30,202318,1919,1919,1919,1919,3304557,1,28.962326,0,4,330455720231819840,2024-05-06,1.2015945,Rio de Janeiro,6625849,22.7619047619048,88.057656952381,1,1,2,86.2529474285714,83.7905211428571,23.1031744761905,23.5714285714286,1058,NA,NA,NA,NA,24.2176
2023-05-07,202319,1807,1807,1807,1807,3304557,0.995328,27.271976,0,4,330455720231919900,2024-05-13,1.0924182,Rio de Janeiro,6625849,21.8636363636364,88.8520834545455,1,1,2,84.5371289090909,79.3549600909091,22.4515152727273,23.2727272727273,1075,NA,NA,NA,NA,92.6903
2023-05-14,202320,1731,1731,1731,1731,3304557,0.28015295,26.124954,0,4,330455720232019840,2024-05-20,0.9804962,Rio de Janeiro,6625849,18.1304347826087,87.2980060869565,0,0,2,76.8775522608696,61.8836966086957,20.4565217391304,22.7826086956522,993,NA,NA,NA,NA,13.0236
2023-05-21,202321,1479,1479,1479,1479,3304557,9.75479e-8,22.321669,0,4,330455720232119900,2024-05-27,0.83293986,Rio de Janeiro,6625849,18.72,89.666396,0,0,2,78.27734368,58.07564868,22.05000016,26.08,807,NA,NA,NA,NA,0.3419
2023-05-28,202322,1328,1328,1328,1328,3304557,2.4545233e-10,20.042715,0,4,330455720232219900,2024-06-03,0.7960871,Rio de Janeiro,6625849,20.2,88.834726,0,0,2,88.264806,87.6893094,20.2833332,20.5,795,NA,NA,NA,NA,124.1124
2023-06-04,202323,1238,1238,1238,1238,3304557,1.961739e-7,18.684399,0,4,330455720232319900,2024-06-10,0.8234976,Rio de Janeiro,6625849,16.4635857142857,92.7973714285714,0,0,2,79.7841,54.3063714285714,20.4796285714286,26.3375285714286,737,NA,NA,NA,NA,1.1439
2023-06-11,202324,1348,1348,1348,1348,3304557,0.39592624,20.344563,0,4,330455720232419900,2024-06-10,0.9899132,Rio de Janeiro,6625849,19.9046,91.9111285714286,0,0,2,82.430442857142907,64.6585,22.4527142857143,26.1682857142857,782,NA,NA,NA,NA,42.4503
2023-06-18,202325,1236,1236,1236,1236,3304557,0.11686673,18.654213,0,4,330455720232519900,2024-06-24,0.95377296,Rio de Janeiro,6625849,18.7,78.0046084,0,0,2,77.2142524,76.07663825,19.025,19.35,702,NA,NA,NA,NA,8.7891
2023-06-25,202326,996,996,996,996,3304557,4.794721e-9,15.032036,0,4,330455720232619900,2024-07-01,0.78507173,Rio de Janeiro,6625849,19.7142857142857,84.4387274285714,0,0,2,81.390786,78.5984042857143,20.2142857142857,20.7142857142857,497,NA,NA,NA,NA,15.5607
2023-07-02,202327,835,835,835,835,3304557,8.548717e-15,12.602159,0,4,330455720232719940,2024-07-09,0.7086593,Rio de Janeiro,6625849,17.45,82.800435,0,0,2,81.43199885,79.5288695,17.8642858,18.45,415,NA,NA,NA,NA,15.1522
2023-07-09,202328,770,770,770,770,3304557,1.9708464e-9,11.621152,0,4,330455720232819900,2024-07-15,0.75602317,Rio de Janeiro,6625849,19.4214285714286,89.1566142857143,0,0,2,75.4329428571429,56.6501428571429,22.1823714285714,26.3498714285714,394,NA,NA,NA,NA,45.3062
2023-07-16,202329,647,647,647,647,3304557,6.1527237e-9,9.764787,0,4,330455720232919940,2024-07-25,0.74518234,Rio de Janeiro,6625849,17.9093285714286,88.8996571428572,0,0,2,80.5619857142857,67.3520714285714,20.3571857142857,23.5575,318,NA,NA,NA,NA,42.4782
2023-07-23,202330,557,557,557,557,3304557,2.0542172e-8,8.40647,0,4,330455720233019900,2024-07-30,0.73746103,Rio de Janeiro,6625849,18.4884857142857,92.4585285714286,0,0,1,80.0830142857143,58.4011285714286,21.9487,26.6419571428571,248,NA,NA,NA,NA,30.9233
2023-07-30,202331,603,603,603,603,3304557,0.050081395,9.10072,0,1,330455720233119940,2024-08-06,0.91165924,Rio de Janeiro,6625849,17.1542714285714,92.1810142857143,0,0,2,80.7280857142857,60.2499285714286,20.4131428571429,25.0305571428571,281,NA,NA,NA,NA,14.4115
2023-08-06,202332,536,536,536,536,3304557,0.030616185,8.089529,0,1,3.3045572023321997e+17,2024-08-14,0.89479154,Rio de Janeiro,6625849,19.5280285714286,90.5779571428571,0,0,1,76.5445,55.7634428571429,22.8695142857143,27.7186,250,NA,NA,NA,NA,33.1524
2023-08-13,202333,534,534,534,534,3304557,0.1244978,8.059344,0,1,330455720233319940,2024-08-21,0.93303585,Rio de Janeiro,6625849,19.9024,89.5918428571429,0,0,1,79.1911285714286,63.9026142857143,22.4488428571429,25.8988428571429,227,NA,NA,NA,NA,49.3446
2023-08-20,202334,505,505,505,505,3304557,0.08628571,7.621665,0,1,3.3045572023341997e+17,2024-08-27,0.9194124,Rio de Janeiro,6625849,19.9392142857143,90.6021714285714,0,0,1,76.5128714285714,54.5233857142857,23.3324714285714,28.5243,201,NA,NA,NA,NA,67.9103
2023-08-27,202335,459,459,459,459,3304557,0.017856747,6.927414,0,1,33045572023352e4,2024-09-03,0.87458324,Rio de Janeiro,6625849,17.9162,91.7952285714286,0,0,1,84.1522857142857,72.5597571428571,20.2468571428571,23.1287142857143,180,NA,NA,NA,NA,195.8509
