uf,best_model_mae,mae,best_model_wis,wis
RR,M0,7.294617350629887,M6,3.655529349932391
GO,M1,164.23080217863716,M3,93.42696283330562
PA,M1,14.957084317152407,M1,7.4653443837086035
CE,M3,27.91644568137014,M3,14.167977303966923
MS,M4,25.932750785195765,M1,14.310847953432575
PI,M4,23.302785433729962,M13,12.445982088871464
AP,M5,23.46676214653706,M13,12.682441769026381
AC,M6,61.834763958947896,M5,32.44808366102542
RS,M6,593.271288729828,M6,299.12030731722945
AL,M8,25.462568048109894,M11,12.897630528718373
AM,M8,16.631550083811934,M4,11.551073154195198
MT,M8,22.116321259629483,M2,10.970828140861592
PB,M8,28.516029741231506,M12,15.473246052315515
SE,M8,9.217631668460838,M6,5.995337562380502
BA,M9,21.63014426911301,M3,11.423990617161978
RO,M9,11.812321076332466,M5,7.001268168550035
MG,M10,110.0545988570478,M11,67.01333473719387
DF,M11,75.56370263745413,M11,46.073116830572594
ES,M11,48.88521659385551,M11,29.8400205372953
PR,M11,45.489469811287655,M2,20.580584964266645
MA,M12,20.664914675118098,M12,10.446336073949906
PE,M12,50.39494385015468,M12,28.920199980648526
RJ,M12,141.38874093388395,M3,73.5393205234632
RN,M12,28.404427433770223,M3,14.59589036089435
SC,M13,73.09264511255095,M13,35.63401971474168
SP,M13,1268.4978475304044,M13,707.310827573814
TO,M13,25.491441003535154,M13,16.25616706398008
