window,mae_M0,mae_M1,mae_M2,mae_M3,mae_M4,mae_M5,mae_M6,mae_M7,mae_M8,mae_M9,mae_M10,mae_M11,mae_M12,mae_M13
1,570.1229906778639,595.9222838523,564.6462098309123,597.1577528399688,526.3189546093394,521.3663728718886,525.7724454755064,498.1530450120258,74.57708380913301,121.20031980886654,105.68197883262233,105.1799499457057,103.95275323436827,72.81421197830198
2,747.8381909076905,792.4393826796662,773.9218176400863,774.1899508549058,689.0888902419883,678.7744866332447,691.5132254289921,571.6516572166186,166.55839978218145,315.1100420245244,233.98587741811906,233.97981944235528,233.6520736449873,216.5138824066911
3,736.0696934713392,795.8462296288288,761.4393663382767,780.6944145315227,715.8643522243098,675.804913710944,732.9944949774374,631.8627738317616,208.7359292996142,146.05481363759887,75.69309320688257,75.94241861815733,76.24632336102671,73.23152490428913
4,678.1768209129959,774.0149527317436,745.7036745758799,747.6514068799254,739.6681784348959,675.7931821948046,755.8395542488543,722.9852773185817,193.3160342712027,66.85597590740454,61.93474142609131,62.047666454509724,62.24076714229571,64.68813776290791
5,631.8976410395375,689.7542886229375,665.9527217736774,677.0447541019446,633.1052080135086,587.3369835843475,657.1092033848516,830.3829048646296,224.25279462474094,47.36726585744853,98.98212816165487,99.00516509098168,98.82962379913907,84.43035745006716
6,505.20288746521516,561.2115845190503,532.3180873238692,561.479020553621,541.1487953607738,507.3441241321035,546.4907456773772,947.5658815308487,263.9497109236816,99.24897315882653,148.0345473311234,148.03760646006697,147.63590651965535,117.64145496963097
7,489.70027313939266,515.5472472335406,484.5771490575698,528.1197104542464,492.1704945949701,454.7192535162184,509.23666937415294,1070.5387161625922,288.5359057917281,127.64599842669178,188.58122272802234,188.4223057196907,189.7450192918692,156.69404468178325
8,659.7737319861119,669.1856890268554,633.3223710966496,690.9678636386353,646.1946145358248,619.8148662403264,657.5216540749534,1232.9594271986214,259.8167732717006,76.17432255635758,24.110417687185404,24.02728544108811,24.05671146492196,53.89980857933216
9,597.1619289014901,563.1193134581268,537.2912051976872,594.9112727723875,593.5760646642534,562.3792671334313,608.2891296471054,1364.7141643174095,248.80472082229895,97.64197948081649,55.10736109202293,55.38279702879642,56.63720778660503,108.73097709182362
10,474.53934855922193,426.8056912199046,407.0315963052634,461.08734578080544,442.4800865233005,425.8696577576465,466.23209061355084,1420.3729591738131,150.3756309481353,59.456168575528594,79.44076261696084,79.34304883762225,78.32370782679233,73.34757621842473
11,323.1486358305748,233.91991362949489,231.8060273869436,270.38824827791103,249.0802335531959,256.11941639183084,264.1925689392608,1412.1171092469615,75.55069919341523,84.32606069722277,102.09353243553342,102.05353058379778,100.97362822029763,105.02125152911597
12,206.7954498102722,118.62930768461598,114.42136109284696,148.85088993649674,159.16164913084458,151.00070240630336,177.04525924126193,1353.1027233381928,88.74051234413702,110.04172507912581,122.49968878577758,122.46673660119467,122.00502406364052,130.66499227721158
13,86.30737094813905,105.85602834868978,103.80232195646451,93.13848424370485,109.59409735494282,108.12680445268956,100.8982128915703,1222.2129495007698,98.87762411724295,159.74979997448992,168.75005928829512,168.77554060572152,167.71976490461418,184.25064787373248
14,95.8848173253857,150.08364681258954,146.99316943649634,130.00056014280375,153.8502421364224,145.03239184117155,136.44165873985676,1058.4820247173793,70.19647996957154,178.27579743645708,192.63452555618701,192.76876698332723,191.80611529265667,204.56305533806565
15,152.33951978406975,210.91897068736853,205.2348113505165,191.51829518110918,224.61755920649475,211.33924096560946,207.55739687473584,870.7263869293208,113.52143243146769,243.08542486200784,252.07077239459005,252.22625887932242,250.77072711105492,284.4896240180418
16,187.99691100547895,232.5426232344533,227.69900668231458,216.2512410408917,261.4586828584396,247.53278006260632,245.41403685170474,683.7827721141227,158.22013265657222,234.0164343953501,234.89104204335206,235.18733025626673,233.87637873389622,275.4825587362398
17,95.61963122165211,115.07415636203737,114.24218435007202,106.52579396126107,119.6130967117626,121.68324102704784,108.45523999140846,533.3595013004158,183.32892957913646,90.25562463409963,92.7979394452734,93.04290170231764,91.0410648140108,77.36601579265343
18,116.100540890148,121.47794434271478,123.87591797805402,117.67563052713285,121.39098784176936,126.51958357976177,115.71411267350062,401.5947158375115,179.49882213870572,118.7448010650646,122.09387597656927,121.96097997839429,120.13712444049332,112.2593013671455
19,122.42652307116848,113.39270721668242,116.48413521328706,114.56174566541623,107.43117608609234,113.39644294697112,108.21856414494034,303.68749130929547,245.86688476154694,140.70181244691165,153.77896440059607,154.21039486070413,151.16819746682475,122.55536655248558
20,120.9368491744577,108.51225189949183,112.22623753887166,111.00849452534862,95.91855510435263,104.56136383853213,97.65300123123787,222.7336889024271,327.6019037412116,159.44332817189735,169.961839510949,170.62838571346776,166.45715361378487,138.1632826623036
21,155.6901183804192,134.69039017091688,138.87280931273966,140.3421897673295,111.68476049059242,127.81751826250473,116.63253373147998,164.9094670649013,437.3898522283323,235.71586379976347,231.59323964958065,232.17263073650483,225.97823470065674,199.24929372544102
22,197.96411183641243,175.77253115931023,177.6646731883314,183.32022821561105,148.99339884677198,160.77384071190968,159.1580080964735,130.57942822913276,507.30846624336783,280.676976419382,281.40259650309844,281.58173380022515,275.9518104641454,238.8850482084322
23,100.39598476991395,83.81794738663578,86.85401871073,87.3887766452489,73.3738603963412,80.24027335638876,77.01918579643844,100.34603601124886,527.8477926695779,106.79656486352187,140.17982420916195,139.977639443295,140.73845996679051,95.05711524714856
24,35.56677272595613,32.69032541865715,33.01132069958664,33.81922075560223,34.00085533928873,34.33204688521252,32.93676787054527,68.34751393620158,467.6621623099125,32.724457817802794,46.587339292964145,46.94059238103342,44.84516621416629,29.64705775943318
25,33.98860965702863,33.42939943479103,34.9927798358334,34.04951725404096,37.28406968630178,37.76829301629054,34.09777652023667,56.27488530648366,297.49539742090224,40.719104903414184,55.33998829754416,56.12279500457816,53.033593281017076,33.0119579894404
26,33.00725473020763,40.230616847567894,43.103810259246124,35.88684801378564,46.41153667849568,47.74533506089509,39.709438684362944,47.05514721477491,157.8490759713658,30.904196251797224,25.445690946205737,25.500008755621998,25.24999024257327,40.00885830199341
27,45.80740685686959,55.11150068201783,58.892606466345796,49.57194362552282,59.47718206436668,61.67321913724049,51.892214493931775,40.19849375305923,83.05523757438888,49.20862253416398,37.92615756094647,37.341578094064694,38.236366268793155,59.59162877093038
28,33.11289829322119,25.227475866169318,18.160012064131514,33.06929024627939,15.603695793610644,17.299692316707894,26.172080931279503,50.18786713396964,20.355461295839888,83.02459542625675,71.35911541779002,72.18773594548074,70.36215708294097,55.07908368896946
29,58.57269317388356,49.674210786238575,40.45924542326868,59.11155256634779,35.21554888736702,30.27501993260593,50.474184060385866,63.193776268681866,43.98179230912132,73.14014622532727,62.027127011146355,62.08706857194737,61.15755338710387,42.15889393817128
30,48.748009637356546,41.48664923895919,38.08696480973653,47.52449940505646,23.261044309572057,22.9937506714071,34.85330506011707,73.61286451621457,37.96644420078047,34.14971199869435,39.92771187787685,39.88636038627675,38.508285424293,12.985673309976534
31,10.974867863895298,12.645359409121841,15.648626573078609,10.703298911700212,31.764124539402765,33.20954559446713,21.5870880306391,88.68195611348719,33.292147045603585,37.9963896444323,24.269847988412224,24.247187229086407,24.803022069633066,60.896858508767274
32,12.841668994784932,16.12272286753406,18.50256095641479,14.32624383381177,13.087846249120446,13.071740192229925,11.08996712064275,98.79323429539915,43.442589114048516,9.045176277731251,12.813219948565987,12.66136340832714,15.053240530609443,11.687069069067775
33,23.428120765050153,27.50161140413051,32.08414671940662,24.207311821871905,15.166914532748919,13.617043739731976,20.730372992407084,100.79673617511119,76.27636409370501,22.88989344740932,28.214278358461733,28.122529360616603,31.61691182093685,22.62603301089922
34,19.268008533047418,31.44758543645084,38.66090876478282,24.43203004534171,20.71647693690299,20.607559118180774,23.523563648732672,104.47467755654291,65.25143565733114,6.342539886339168,16.21660841386135,16.060253992428088,19.402745759343432,14.919272791390036
