window,rmse_M0,rmse_M1,rmse_M2,rmse_M3,rmse_M4,rmse_M5,rmse_M6,rmse_M7,rmse_M8,rmse_M9,rmse_M10,rmse_M11,rmse_M12,rmse_M13
1,711.9549892321817,754.9582341972598,715.2330141114319,750.3930722944222,664.7260279396517,652.2168877285278,667.3749769077078,567.572758378163,112.75991671367261,139.23538800568036,129.4721713161845,129.0981888781524,128.18580636559483,93.75502405156321
2,880.8449397969235,944.9142256362786,919.8205369502818,920.4215670763904,823.7994608549969,803.6827128995644,828.5272814041284,651.9078748365416,198.47001939077077,333.27867031395874,247.9206549076505,247.93949790923594,247.74907858434722,230.37300333920467
3,865.4430629334305,950.6951597950571,905.2079849688896,931.0192074174141,858.0978692857365,802.5229974566498,879.5429802760781,731.2208010437206,246.8605219399963,156.1215463432879,98.58242282338782,98.74991477337686,99.16795874595856,90.62024700041397
4,810.0203011221362,931.5257678602004,892.6521001363534,902.2269866558189,879.1694668197248,803.303418628539,898.8532710589017,839.3781871499112,225.72532361373092,79.68813243796923,78.43888877123194,78.57497325581812,78.47739399467785,80.24276825843086
5,761.1145745050654,827.4930817088108,795.0745418931011,817.2122603082498,762.4716697314457,706.9803114068823,790.4985728639726,969.7526105296217,251.57930285380309,53.06518549655486,106.44382566103832,106.4751651352681,106.14283170302288,93.37439124762594
6,627.2077904816082,681.5238033524439,645.8729398843213,687.4628493994098,656.8634026745697,616.6102854662284,665.7540776069192,1097.5724721438821,278.8917043593115,106.32442750281194,158.24990138091871,158.2649378382631,157.58830897460032,125.53849133379461
7,603.0196340340782,622.7276082048106,585.581736535694,642.2975158633691,603.2852059993579,557.6197300941533,625.0534560932175,1226.4338325844042,291.72839169437714,131.4022419480446,190.90621606769238,190.74911491161697,192.0308996460401,159.76942272116034
8,751.9648250559845,748.0904685178688,708.2898303223348,777.8249543760257,735.5244921343025,703.9753012169203,750.8815509510728,1371.236842745503,262.0154331861726,86.95613406588662,31.2555144195723,31.16037163671698,30.73020275192045,62.041118479963025
9,654.6715319501241,608.7515465322941,580.8329412279189,646.4478481354575,646.3868464410997,613.053549546306,664.2115560517151,1459.8423796817822,259.06402231932674,105.35020249678327,69.83509228810206,69.84707766454339,69.86624726176701,113.92334524346934
10,506.98664597686,450.01022251274316,429.51963200129796,487.5873247857556,472.3039466582955,454.57927252033824,497.20234225796446,1479.7930409189041,166.60429152322504,80.04003826977397,119.17814436899307,119.06837893471146,118.18938346587106,107.2200931675479
11,341.6877471943633,255.36919877672273,251.53012832946496,290.11469153065707,276.288374186557,279.9622471202599,289.90514749914763,1443.0728360288538,93.33554923161964,104.48025927351308,145.77690752038734,145.70257698408346,144.31239132207784,143.42331297017586
12,221.4442984331781,149.7478699480405,142.98923364910678,176.1675958673433,193.379794926263,182.77239288683325,207.66330144023158,1368.0455540404541,112.83378586631618,123.14300187742137,154.2056360713741,154.11534420584655,153.40580749580513,148.4071364292064
13,109.63119333020288,127.53322996480877,124.69363313454208,117.8326479981963,141.4484315323703,135.57127929142314,131.3720016322222,1240.495709784745,113.44203729400046,194.64506183022345,204.76121558141892,204.78429009391024,203.46990229150327,223.35790926561037
14,121.25441014779683,167.80449074588262,164.70533533008316,148.93723164392696,178.29493461540437,169.60841521525805,162.7061086987341,1093.551891804026,78.07814232281294,197.29974606592512,212.0784152497144,212.231544518902,211.22427753233208,224.3264439459045
15,169.60942058281663,231.71371774903366,225.43491592274867,210.6687405492593,245.50387101245727,231.8825916482964,226.7269824736848,920.3135735360556,119.2185584725287,265.05869520998584,272.58426744447803,272.75096076939434,271.0734490798457,307.3236908082253
16,207.96009710591807,252.79289628653024,248.67914041570424,237.32749656582408,279.11676119426966,266.8265875311423,263.4142508545833,733.1250903501336,166.8492157074641,253.8871377032024,254.6308958129071,254.89297539243452,253.32843851365902,290.8598836359525
