model,wis,waic,mae,rmse,mape
M0,71.20014117051531,3589.2741778145287,174.4543606148298,331.359324286785,32.74026453149547
M1,74.09528653117164,3590.7458858477,183.02854263561676,349.82731270161304,34.73005109422158
M2,72.27398399583498,3589.760989536206,178.14986467618323,335.52556310317925,34.2660780988016
M3,73.68964812874704,3590.848246061199,181.5075432353098,349.01832804044824,34.02470364800693
M4,72.78696498420962,3592.9241495864517,180.11830022334814,333.45943291643096,34.837752039297385
M5,70.44927009304574,3591.2278096824193,173.38075980311635,316.0304267805759,33.80292636860248
M6,72.74628508397693,3593.218965549921,179.33137478026268,338.05685222427377,34.09946967201213
M7,226.1098515426826,5112.250233693599,615.8852954593623,1070.4675262835572,159.2703416448826
M8,75.50055555201816,NA,138.04464179564215,202.98556275984038,39.97044904124222
M9,49.734648766129595,NA,84.90206067231071,122.60046658233307,21.574655699749783
M10,47.64137802363458,NA,85.2820672617883,123.85766626420123,21.906539891553038
M11,47.700514595358726,NA,85.35044873654371,123.96476988360973,21.94063732367728
M12,47.4666284083805,NA,84.9386117229617,122.92681621673003,21.83119440086693
M13,50.143698608201504,NA,85.14220149854826,121.29422833493872,21.954085373504277
