window,mae_M0,mae_M1,mae_M2,mae_M3,mae_M4,mae_M5,mae_M6,mae_M7,mae_M8,mae_M9,mae_M10,mae_M11,mae_M12,mae_M13
1,439.81348662311234,433.7130852464989,432.92550576582966,441.12799741086565,419.7845037570169,423.28120182606096,431.7501528206463,239.99991409627597,751.9425600227312,453.86178030842206,443.33754705237334,443.42177527801846,438.1070755272098,442.7096110112925
2,303.48106746334474,289.8555762504461,286.68905284825485,305.2156943334128,289.7578780123541,295.149264100373,295.4044724812635,238.89473014270496,735.6006202061882,353.5759484704648,331.5510579880634,331.8490049725019,360.75681656657883,337.6154924996717
3,364.0250613457799,347.3639215917373,348.47683682224033,366.64182573810876,323.43530051242533,350.5728374011913,339.36346142263767,266.62268610500223,647.2703229980118,428.31337014765916,402.6655756083961,403.5599615667547,444.5036133402392,390.53502407791393
4,291.2944816168525,272.5042768663798,268.7279415284199,295.003795737687,249.37549116568476,268.3494946026409,262.21454932447136,267.56955690885206,543.6390450128455,375.27273355539387,331.20481990099205,332.0001667951191,376.7019316727698,282.64573428065125
5,248.3060847522793,269.9199546162166,242.84000364661767,244.77281027981437,294.37756885689555,236.51601138326956,282.17153258603673,223.8114485156083,375.241610241924,188.83405627648983,160.5535221144195,160.45646503076398,179.41987163883863,153.20950887897882
6,290.27100190117886,314.87371922350064,268.0023135541185,285.6052621500812,343.5227432808041,263.2252683913055,334.70506234652885,251.37699430323872,203.1837281178545,208.25915652451914,167.27002493305835,167.41913769129135,196.55534389899242,172.92439557060902
7,592.4103153810945,627.0102700074622,558.0525085126892,591.2562560353401,635.9657132309067,521.5628197920848,640.0989465986247,304.4575389612887,211.43032611684035,163.5689059400001,254.54398279251313,253.7068455059222,149.36249864392235,375.0161528556695
8,536.9358028969483,564.1812072977576,509.2799669035107,534.6471653840825,538.0743132264819,458.7946536984814,552.6959891249295,421.8224884162585,473.87086070143084,150.3173741683067,200.51879570510232,199.76506973114914,146.5633600148347,316.30787388714714
9,115.91434138383437,107.0382276243895,120.81429753061127,118.76505151234129,132.3934331418924,157.63312759565187,115.65486002133387,423.77633445701974,609.4886699624379,295.4999024548146,264.8486717463369,265.4651428189346,294.35201406006746,213.35164933457332
10,150.3897431962033,154.50631434745785,167.07880899352557,148.89454585084314,175.45559640135917,195.38944920221306,157.97789987433703,410.1057512302709,190.2857019264125,285.15466529920576,270.37791392528845,270.981335675744,292.9895456984926,229.55824376252576
11,184.22688875626002,170.97381911761616,159.51102523830505,192.98557948994107,171.6523996793262,151.6822093593296,181.31132755370857,430.82610645997937,234.93094822067198,90.85760866205078,111.93850155456452,111.95431022736423,102.50126465167281,143.0855242018299
12,144.25525320510016,137.3950301397636,128.60639441431732,145.79899324480658,161.10067275189954,153.6005250500716,154.72270344676446,419.38337620284267,182.35767656602246,119.15916360651771,156.9765374170577,157.0687375183676,146.80055567184246,169.05977287983652
13,133.5430448671197,143.32766963969704,143.5964822742306,130.49691163256017,181.2543082469923,174.96062294378234,158.49999772430664,370.3696065562524,162.82135613825199,136.75737362361696,185.99050762644092,185.97789747965777,160.3941013593569,194.19349650139526
14,151.3573370801867,182.8093931108051,190.69360841160275,141.56309973066982,227.763352387058,221.31947655762713,185.51666441238112,315.88550689512044,174.88358209099152,163.59401955343915,226.96425081717007,226.6453579068784,191.51865043761956,226.74452161271992
15,149.57417294340058,185.65585046743564,199.81073010668086,138.85679046805632,267.01733950191783,253.3307380214316,208.8504810144266,255.8596734818054,154.16931806770202,152.15485259867873,220.33558124650511,220.53604941827354,174.70741147521107,251.1198557858408
16,303.5963933772341,332.2939485115647,341.11460509321165,299.742520492556,410.3213568826841,397.3352657794502,358.2572138979943,157.38376518170625,155.36424791825098,315.3472564758635,370.8008512894446,371.0693358375483,331.9892365683704,416.34232821723396
17,163.1979318847291,174.00748706933285,178.05316486833607,159.76563178722358,211.09656465427258,203.87765872018613,181.95802516610885,118.15190299185645,275.03987403048285,181.0642609259925,187.7790397897867,187.70478901101603,182.780263262402,197.76583518374287
18,167.7430922793548,171.1444469648678,172.92367326933135,166.82550917126161,189.87594161625003,179.68832441197478,175.0530823081468,86.13456322417103,199.5013829825769,210.48995779640745,189.6616880702108,189.4541642165703,196.70192928202556,175.12452481007386
19,144.96280053775587,139.9424608528821,128.076434182486,146.46962211812615,104.80897662427569,105.29753081076603,123.67798120676424,98.16896094265621,225.54717203155695,348.2899269610707,286.4610928207189,285.88490328428077,341.2494256395071,181.62787993623323
20,176.3708892403762,172.02313346914386,157.35976852419157,178.0781999083431,112.12447986770604,120.21490913885432,143.0564587003209,100.8291010307876,383.610615622291,393.91880068027876,341.8494252015315,341.2953421580813,375.2938658670405,227.50934088518244
21,198.72569949089763,192.0931577873106,175.08016030836365,199.64768067961768,137.96143505238163,135.98881380855514,171.63691527343002,102.87392545106495,759.7335747492729,373.92354336754306,328.20684992876204,327.62934177581445,329.9143880685609,240.42176227686542
22,167.74947075923535,163.19339796569622,150.47686389446605,166.22563433580885,119.44896120046342,111.49474740049217,148.34261443603538,90.7243925388477,565.877538552354,336.45989924775273,293.5954094705507,293.0970808393689,278.60758812447614,204.04479495524154
23,132.2452632578315,131.46481387880704,124.46843364548388,130.04504838300676,94.43581621527352,83.27525126052569,118.57264446650225,80.05079732912478,412.9283083807271,263.6491840492747,237.98189730687466,237.73673185979314,231.31397200511367,163.91947947985082
24,23.7350804476799,23.862511789410647,24.702624183498898,23.728672824175355,30.403587073307982,40.72389772261517,23.229146539297112,59.79090432577108,228.0105334074652,90.17685508080613,66.55915071203731,66.38381944994575,53.95252083633801,23.37645897004016
25,44.86646399911986,45.5355825879446,53.8229326414403,45.13407889388547,65.58266843901741,77.11111744276226,49.69962930452747,41.69245327767557,91.42769786880909,36.49717742355372,23.51332301311073,23.25532887153863,21.190594105278933,30.678525735242317
26,24.849506587402132,25.792071532936994,27.80688549986455,24.572417955419326,32.82648345981032,41.08440206723693,26.198805617195795,45.33484373361253,20.64071534843002,74.62347108621121,58.62395119424905,58.27002553300964,58.11515016109187,25.344836783284258
27,44.103049827035804,46.204923663253595,48.34655157903113,42.48281877439342,53.97658156823549,62.179357052920864,47.267479225892096,44.2760412334334,27.442071370755055,23.21091368215972,16.033535619490884,16.00964008584409,18.69539216824188,23.59061850289789
28,31.448067197865665,32.37219583427797,36.79982589391393,31.03835166201884,38.56865943411105,50.480588383235734,32.46939255122804,52.93343497578671,14.642574148258163,36.94745839846248,26.742075124850807,26.500821255533843,25.278981179474556,13.841155113149988
29,46.13275680400586,45.91131834040957,48.477968291064,46.09237716673586,47.66091256298044,58.126020583132785,44.292051769448946,66.19315557289958,19.59446328396485,16.900801639902703,16.708122328552946,16.554985913701124,16.847038042680587,16.534952644
30,35.27734502310214,33.76418028924887,35.00767948841225,35.371914281710104,37.32695491471398,42.20809776491839,35.32494710436529,77.79544025586806,21.743426084175645,17.413811715578817,19.16962510595225,19.013303616959213,19.918753844133782,14.676276060596294
31,63.61111571828221,61.17596456268538,61.237225568763876,64.46505237244624,64.81341933292009,68.33428141003832,64.47451087052094,89.41227315936584,18.297312455080004,33.284334181678005,29.30605533782507,29.55454999682634,36.93726971188184,41.261643967597294
32,31.124400105761246,25.178859249682088,18.374504845529472,32.6034766969001,24.7768486346147,27.435346108228217,28.803837861910388,92.94712987202657,26.416270639586372,14.098187260952898,26.434172332304215,26.314803925209674,36.5648678456238,17.046981186297685
33,30.203585334550386,24.78166631869471,19.03871956767871,30.82948697264179,27.703085880908596,26.527100598925333,29.673645316801363,93.38756568649403,34.33390419825878,13.644423859521396,19.599116422558033,19.619306436796514,22.69848958041443,19.75923031445636
34,9.826523076600942,14.433720277161427,25.266096701794645,9.312326103658044,23.15111472344745,20.860457965271713,14.267354449972025,90.05768467543092,15.30589760578637,29.581601315171,53.71639335805268,53.83376048424018,51.771743713390805,55.65172189331226
35,25.00687473282871,19.829252196943372,17.184994615420777,26.341948177279807,21.81127898542811,20.742779946272066,22.333876363850784,87.36486189511987,13.200926197564186,15.446826943410166,19.53130163776484,19.681813462378415,15.57278371464399,27.448463468781803
36,21.080517192203843,21.345783809572204,26.844104039201802,21.411857004179154,32.597153620360665,33.0804037111672,24.736811918146877,77.12140361668224,25.367952894096092,22.862954433865667,34.51097642872992,34.720859610046546,25.979175911901635,48.59976975578727
37,31.006420005782857,33.540146135288744,39.574350049505966,30.43741121393019,47.96544964625105,51.087217342155725,37.37044504445525,63.2449791656292,24.192752185958646,32.674855711536324,50.14331873726235,50.35761380190163,40.19193411299093,69.82031574929104
38,40.47149857485342,43.792631111386186,46.961775859250814,39.29234255391915,67.09297193749933,65.64335755376823,53.1100611104623,49.47897088296,17.373247149697782,42.4688690110267,62.37947485895505,62.52716266658586,38.13244787071986,91.23506122306367
39,47.53537015542988,48.96194232299671,49.701510366973395,46.72922764718934,69.40607807014902,68.55396370519595,59.0645427727046,47.967036323130145,28.286338414126455,31.850232569641385,43.34778865596704,43.336721911637966,23.799484972115238,73.87231705879981
40,72.94156545292742,74.92350283411444,73.29840395632806,71.31790404308305,101.08113437709032,102.60930961346688,87.6756314059639,50.72240349243248,46.17648423697763,53.915848219483635,68.30986182024814,68.21035347037406,43.34515200176936,102.68167054397642
41,71.39187228965473,71.3946977405543,69.49849630961938,70.67391756679334,86.291429058309,92.35356495708731,77.62755935889041,55.16341617994914,38.19064610134318,35.48915951114491,44.72967589826166,44.65588953000381,31.281827728735408,70.91472365094205
42,96.1326896798326,94.60936230242834,91.6777668272855,96.03915949987038,113.72134799821046,117.20993138693908,105.15166852265696,62.2145002134447,26.62530978002522,67.58212066501247,73.16471941727063,72.86026841259972,67.87345120685505,105.94489816127125
43,80.71417898489099,77.92985273907007,71.75776232653118,80.99273612981061,87.7490402155893,92.7219711033967,83.88316457574241,84.1484795111791,37.309970818637574,42.581871317526705,44.28340189904819,43.96482379224553,41.28030208900139,68.98850267271368
44,45.422606012285115,46.52646737241223,49.11296394583198,44.32406421685127,52.81873003732558,54.949238128042595,50.21133366017149,114.49088997357669,58.50550779305286,29.49953873533083,31.75816825489961,31.72085441850986,30.838175634818064,39.231671494883535
