window,mape_M0,mape_M1,mape_M2,mape_M3,mape_M4,mape_M5,mape_M6,mape_M7,mape_M8,mape_M9,mape_M10,mape_M11,mape_M12,mape_M13
1,40.59676333139882,40.09841851960907,40.13975716125038,40.717383381693026,38.91047226568097,39.10035449961972,39.97140127346796,19.602450995101787,73.75506763140307,41.74305024677562,40.78968295517359,40.793230337353634,39.79532742486809,40.72923214350487
2,24.98467673659924,23.74752443867628,23.558175100717722,25.146982203859114,24.11618670748659,24.471697687415347,24.43562124290738,19.620839800216487,67.78745375098329,30.052246291357605,27.94829428546699,27.981255380480718,30.723611144940193,28.673195537880563
3,29.822085446050632,28.373327869285745,28.5210531599914,30.05040380228924,26.490023437480474,28.812678421627602,27.783913654420335,21.352463074619738,55.09255193136582,35.62524947570782,33.36630058239546,33.44815315627581,37.12132508018613,32.42971475304588
4,22.82883145985827,21.376856930099887,21.023154142337546,23.117170136512815,20.30282044721555,21.32817675786962,20.895425623011203,21.200013798742496,44.29300655970291,29.869391417791192,26.08074901879943,26.151985128011372,30.034660927750878,22.02679976602539
5,21.763360724450475,23.728924425697382,21.361426564757764,21.448394950783758,26.350212861374107,21.141407066166956,25.022147968470566,18.1122130235628,29.565364771204088,15.910477481984833,13.987382345256599,13.985265094960958,15.100540148723942,14.004381981374555
6,25.867501738596545,28.125793249412922,23.820785362186157,25.438004715196964,31.19941274267577,23.781171947636075,30.18876034646494,21.2519438336326,15.678672857728223,17.580224882166647,14.475345426607806,14.489447417241838,16.645559121095083,15.890802424675366
7,55.240612730883086,58.3085910980069,52.00556772228428,55.14514739360678,59.17656604164231,48.82056282820958,59.545493573618955,28.26363407763402,19.625301920312776,16.153219417778722,24.34810224721334,24.2706777868563,14.845481713475522,35.39805293507525
8,55.56100264054974,57.94447766356119,52.42454262389833,55.369045694890076,55.80207202675539,47.879478491195805,57.218639424971386,45.542019106581805,50.4818900965617,16.4618391953386,21.59617621065705,21.52063105999597,16.260260419470963,33.649800293181364
9,11.550596895469473,10.657127147579418,11.652459463951649,11.85211875738894,12.879673102121277,14.821261613463058,11.517943145932591,46.13789559671766,64.94616560390209,27.063339955324185,24.208775328535744,24.271992696783077,27.152485903271828,19.521887156616103
10,14.049937487503517,14.502011181335234,15.60627074871938,13.884439712989835,16.624777904383986,18.283713208389592,14.912692788905519,44.91769281097947,19.75370485980077,26.282376206715934,25.005946996547575,25.068441693869143,27.286655078479594,21.51525047372027
11,20.51957349774611,18.865785466436964,17.4838935570136,21.40253472291934,18.93952616350817,16.72371940808969,20.16550631816112,46.656047890599496,22.03672720563897,9.87793858120428,11.826421702069602,11.825040903310443,10.788380686494493,15.690956073348591
12,16.044248849711916,14.861650240566043,13.661234674906531,16.365639251670792,17.071695675357955,16.229720536436222,16.85339793975222,45.62024982378358,17.72914453338239,12.502850545970217,15.73694670515748,15.741087537209522,14.634593395713512,17.74209255118881
13,14.368656574193054,15.010880907583843,14.797527825857722,14.152299029982945,18.710080655885186,17.96343179740682,16.70891686572549,41.02251591958341,17.85638638649943,14.326225796776388,18.778263259791146,18.777393831378696,16.28879702539909,20.002916954238906
14,15.610766449080257,18.67156903591604,19.478506543552335,14.663080388798585,23.505917297944762,22.750427900706686,19.19819668846808,36.160707679156175,20.7317281193626,16.79018538092081,23.03268138518679,23.006119770720236,19.396962407133415,23.46132166034519
15,15.78167663371881,19.5479126268069,21.107032900157815,14.67086050019615,28.42781471325535,26.877823639991412,22.204429001689142,30.740457901377464,18.205343644852938,16.01913686730755,22.932153527861022,22.95762240121693,17.916784554675374,26.669273874132116
16,31.206987065619785,34.56291912735773,35.7295793045844,30.75524275999395,44.06317266272202,42.422509176526354,37.83121281017717,19.621295092154377,17.21034417985696,32.06048603735011,38.27116113125712,38.30891533041506,33.42150298212593,44.37321567104932
17,20.28999618195559,20.779472013466258,20.718488848048068,20.132403278767395,22.481810444442335,21.69391654872085,20.56576130094616,18.67707538392137,31.809722412430713,26.987469800672738,24.24715737306296,24.231364787850502,25.1449225554704,22.098839854734422
18,22.018242971729858,21.740164771329557,20.886741493714382,22.092823073957092,20.751225714270312,19.712054912685144,20.417990432233175,16.475984015148622,24.1901897422575,35.97293096704055,29.305295501389665,29.2581472103413,32.42246190870844,22.187582460087114
19,31.198071632465535,30.105682265631835,26.90733435369696,31.51598671447749,20.160045604137743,20.81163482608048,25.72623915107232,19.969960314466313,45.866745583233296,73.86906064296645,61.5700057572321,61.4509769972121,70.90435178389104,39.632878942747965
20,40.58194131845258,39.66959863797355,36.35407390075523,40.947869525973324,25.518739345030127,27.449196525615243,33.00932845286229,21.31973740154524,84.15346056478174,88.34019143487808,76.7060033588975,76.58393769522138,82.72235028434626,51.32947614144483
21,47.578687730842205,46.032663177335685,41.97580333512517,47.74770144600933,32.83603173149328,32.046011803404625,41.0938379723524,22.12846298035862,181.40256724685057,90.45784074018735,79.25724754843189,79.12077935653892,79.13040989041419,57.17031604810572
22,42.15186887739603,40.99250190923273,37.67331050869022,41.74808179880677,29.409044954611414,27.11487666549641,37.08469412194822,20.581514120004922,144.57188982400356,86.24167624648284,75.09542446796912,74.96773575773203,71.196975835475115,51.416786435827724
23,35.44234566096963,35.11629114636043,32.98844453804304,34.860505935001655,24.531925904267567,21.167729000669663,31.54239434611495,19.06710533714709,114.78750520654044,73.2042959937998,65.63031769299556,65.55626088524718,63.72839475791972,44.354752494066304
24,6.686851449442548,6.7178601296740785,6.885067255591511,6.681863619259637,8.554370312102744,11.71860537538486,6.503433400155802,15.634979688148851,65.47132655100427,26.991912866708816,19.896049112519542,19.83908202655358,16.256324552112424,6.743294005805484
25,13.196147156150625,13.440646903248506,15.972737505389428,13.253254261044692,19.5788443665467,23.18619696546868,14.675667546921666,11.953738369273912,28.152186570134596,11.371124476928895,7.145959031723267,7.05996615946341,6.310188580907358,8.832901052967818
26,7.722907908763895,8.016544117415753,8.692620451140384,7.643168586962355,10.19874041486121,12.901907901603032,8.150628054560153,13.883247305191091,6.459655738516938,23.606099268604456,18.47389711122874,18.36043723408548,18.311190042890527,7.93656007790402
27,14.067510960408672,14.755853439411872,15.510077827663265,13.544133513807722,17.303119625915773,20.07142343937243,15.072913363344401,14.440816544577004,8.757541935597743,7.89125356849873,5.356309214226029,5.341310622618323,6.265977528031057,7.467662251779815
28,10.38075362313744,10.6758247079076,12.156899650947114,10.249852797554073,12.752939209311107,16.726781050743508,10.73625151679006,17.714551155526117,4.843953181434815,12.608733649324897,9.175511176885855,9.090243202017863,8.667241961635714,4.57249105158395
29,15.307846427123778,15.21876359258397,16.071781635910042,15.300411623876336,15.813876420813463,19.32613237198847,14.700647219861768,22.15995157238141,6.555413698580945,5.909670609657161,5.700836133519848,5.643461878649447,5.694050973574878,5.424061263513249
30,11.80695487121357,11.288878454267975,11.711612078301235,11.844330869149314,12.4770644424187,14.130518978819042,11.810843270778037,25.97256760095891,7.612123961781451,6.090794055028546,6.595116819620215,6.539468566008479,6.793355928714878,4.904539305430389
31,21.323674774551563,20.486671595741374,20.49999566095928,21.618073490975735,21.701714455597404,22.904073430431897,21.60052977617658,30.032855809147453,6.1092126848347,10.997451105390413,9.62404078361778,9.70794138971271,12.182288044759758,13.678255218870945
32,10.417584517564572,8.391567742417953,6.084838874771089,10.922922080356788,8.242748635911305,9.1571361220384,9.618161981693195,31.394193715004103,8.752630927471081,4.880305974752116,9.086117144762285,9.043884596324165,12.616262278288051,5.81384166588479
33,10.152579899022369,8.262730696836586,6.375569316946041,10.375854386692147,9.288020029206974,8.88765127810387,9.922005381771001,31.799202770341424,11.675518357205592,4.615842596081279,6.811729389816076,6.818752814626959,7.876248811322956,6.771789775826566
34,3.4533046345684193,5.088592618446901,8.80959402814463,3.26261701512753,8.11558625936418,7.307553797173481,5.0263025699714605,30.865926735638453,5.175964345317568,10.410889498621838,18.69125301484515,18.73118225746406,18.04400844975487,19.37554433472628
35,8.514203563815109,6.793232755051433,6.025387765757048,8.957611923035229,7.628830765734976,7.255746328508435,7.653434013148471,29.941589531468722,4.465410745684754,5.231716185108342,6.942802424713312,6.995582399157348,5.464337588069877,9.7438413961389
36,8.385165177558731,8.716242432431176,10.8869811723986,8.459229481973269,13.191718191432326,13.378569627387641,10.019912142061294,26.535481900295753,10.198222157325649,9.099690076422641,13.723806158554797,13.80057036278263,10.321569652577807,19.242774393224003
