window,rmse_M0,rmse_M1,rmse_M2,rmse_M3,rmse_M4,rmse_M5,rmse_M6,rmse_M7,rmse_M8,rmse_M9,rmse_M10,rmse_M11,rmse_M12,rmse_M13
1,520.5916824514063,513.851972245064,511.2289020325655,521.8907460461608,498.732351169497,502.6395100559687,511.2216666274427,336.0451912723642,828.6596797391767,534.0005558812592,522.7512848211145,522.8602068262653,521.379068350073,522.4185577814745
2,403.06259299598366,393.1363987320658,385.97687840691543,404.02976219987386,388.2235718585452,393.00839609428294,397.0613002640285,321.59967836708995,802.8267824214064,428.04618500911903,409.48860599156336,409.6610251564968,434.9808594692462,416.84510317658714
3,434.6572928849497,422.2030505087116,419.259145808435,436.40748576164225,402.2392771601302,420.5524073888033,415.7112241435272,338.00237943223107,696.5148238202473,479.4172426887368,455.89004308391316,456.6665788122758,494.01259250424783,445.44037796987436
4,358.6148227798355,343.06259402113585,335.9164181196063,361.5149792602901,302.9200792771112,319.93360360927545,323.68173034516946,328.21890128932256,575.1131210713821,416.68150392835076,378.2494807390849,378.84716664253824,416.11126027367936,336.43577554704905
5,277.86400481885806,300.52814950431446,272.0887474979212,274.54003832478,335.7942011988696,273.46228200933393,316.3901421437788,271.1029916514863,427.07440937978754,202.19460628711087,187.84960911855572,187.7620539600737,193.13548389070095,207.5831751951822
6,308.58278111120654,331.6795059423826,283.94368449053644,304.230393377975,369.5186208999328,285.05638606152,356.5582895076463,287.2237555761962,247.16392171872317,212.70231284090477,189.4642322009842,189.44821158812263,200.6122708599392,215.0315488221027
7,626.7484326192773,660.903702315475,588.4962238965966,626.0084264970008,667.2621641290889,551.7964467176171,673.2219841414119,338.21460507618133,236.1088120926047,249.18199447105505,308.92160855742355,308.29627979202473,233.92842167699484,407.97773188859577
8,555.9257410518596,578.7295206922201,523.5200584899409,554.1682051822074,557.5447989708155,480.84593948732567,571.9095973193188,481.9752123818116,513.4281133780802,220.64358503603407,259.62830039925046,259.1618633903848,227.01925475378326,350.65908429041673
9,153.585815500718,144.79227401228735,148.4822216109305,156.51622349093037,165.06603110551234,184.41963101899833,156.16490403681667,485.579624445008,662.1228971300228,327.8246934939778,296.4798300223137,297.046132575761,324.13770575297013,240.21147102361633
10,179.70297481745246,176.2415734326017,183.74260020851113,181.32611821769768,192.68758850050304,210.32886684980244,182.27010596171823,472.57149603654756,228.83983533289017,305.03367125804766,290.2972222233441,290.82114096894594,309.866545871834,241.45532728871783
11,220.19192966086504,198.97944906971756,182.8667809057629,227.174583120985,203.97255654578646,184.3785849145615,214.44883302456537,476.5930514468718,257.49741494796893,143.15776530896073,168.13205318318052,168.15985299618148,159.0364211196796,193.18713858256226
12,169.48924150990555,160.73032165292986,158.34991427408048,175.24554722537965,198.1055971797146,190.99919124231397,179.0333725092062,465.73209019334666,242.55167906112402,167.482058044255,212.96637522357898,213.2127902714063,201.89119838044857,216.56523433443607
13,152.05987258076033,169.92454277985195,180.21285414423778,148.39473682972138,224.74256906931717,218.52106930783202,184.89650090103117,429.8221452400228,193.28878240215,174.22752629959513,227.8018815830585,227.85583229488566,203.00550653370027,239.05280489996633
14,181.78227940165488,214.0248027154653,224.2337735999471,172.34293374234207,271.25080412139977,263.9802206545666,223.75823219514206,386.0226888805986,217.39838764052445,196.2103839110648,262.4773870948043,262.2008834931556,227.37987741921768,269.77450282198805
15,181.73913450726636,213.40520587230225,226.91833340346233,172.92842047189527,295.37882009605784,281.52998217529694,236.85727947940407,337.3626294750918,182.3284523399268,185.9042474210284,250.49394540400914,250.6069165592774,214.171937014272,280.4264321507033
