model,wis,waic,mae,rmse,mape
M0,67.70184044982692,4665.655432795069,131.0401289161297,208.40143474047701,22.801707293608388
M1,68.43503738190473,4665.855854070915,134.62966946280866,213.20458387917446,23.446513499076683
M2,67.72296575470173,4666.789536102425,132.7928134075011,204.64004274811285,23.783413647392756
M3,67.69543855939494,4665.9217304664835,130.25317498064464,207.9553833425508,22.60788838258708
M4,70.914994032377,4665.251954197923,143.92974030649546,221.35503943282467,25.861045294175355
M5,69.69058664772705,4665.546798859643,140.13644398903074,208.78902618155374,26.05376686704816
M6,69.13027608893161,4665.736256709042,137.67275247497196,216.22240509411884,24.1956730572061
M7,88.38234590066635,6756.781497830542,187.27738121209728,264.417943744353,42.39694360534451
M8,109.57930306082272,NA,190.73981346119658,312.5222002758014,32.2979813074143
M9,70.93090218265816,NA,136.37674683276344,214.70964104687272,24.60434277610013
M10,70.13632637052083,NA,137.85184827678455,210.25420265515245,24.93219613138693
M11,70.12580643788245,NA,137.78428982816442,210.21440389521854,24.90520597027123
M12,69.65746133189803,NA,135.4112494704386,211.82945556200266,24.10150537863957
M13,69.29330098447855,NA,137.33897687680567,205.30920378975532,25.248189172588663
